,Sex,Monthly Grocery Bill,Vehicle Monthly Distance Km,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,CarbonEmission,Body Type_obese,Body Type_overweight,Body Type_underweight,Diet_vegetarian,How Often Shower_twice a day,Heating Energy Source_electricity,Transport_public,Transport_walk/bicycle,Social Activity_often,Frequency of Traveling by Air_never,Frequency of Traveling by Air_rarely,Frequency of Traveling by Air_very frequently,Waste Bag Size_large,Waste Bag Size_medium,Waste Bag Size_small,Vehicle Type_electric,Vehicle Type_hybrid,Vehicle Type_lpg,Vehicle Type_petrol,Vehicle Type_unknown,Glass,Metal,Paper,Plastic,Oven
0,1,0.7770245622291021,-0.6576765438113765,-0.012360100578605121,-0.7232184725100869,0.06062053257097393,-1.496402195652269,2238,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,1,-0.8289472936808673,-0.7302508005245835,-0.5148032135300247,-0.44176670082963587,0.8770586816750016,-0.9467140871208866,1892,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,0,-0.49667725452708056,0.15905464367754876,-1.5196894394328637,0.26186272837149144,1.4893872935030223,-0.809292059988041,2595,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
3,0,-0.23363014019699938,-0.7067815135277753,-0.5148032135300247,1.1062180434128444,-1.3681462283610746,-0.6718700328551954,1074,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0
4,1,1.2754296209597822,2.320034377152888,-1.5196894394328637,-1.2861220158709887,-1.3681462283610746,-0.809292059988041,4743,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
5,0,-0.4136097447386339,-0.4959189965102985,-1.5196894394328637,1.3876698150932953,-0.4836715668317112,-0.3970259785895041,1647,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1
6,1,-1.631933221635852,1.202896316104818,-0.012360100578605121,-0.44176670082963587,-0.9599271538090607,0.977194292738952,1832,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7,1,-1.5903994667416288,-0.7140028326037162,-0.5148032135300247,-1.0046702441905377,0.9450951941003373,0.42750618420756953,2322,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
8,0,0.3616870132868686,-0.2366736416840172,-0.5148032135300247,-1.2861220158709887,0.40080309469765213,0.42750618420756953,2494,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
9,1,-0.538211009421304,-0.5746313744380552,-1.5196894394328637,-0.5824925866698614,-0.14348900470503298,0.8397722656061064,1178,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
10,1,-0.38592057480915165,-0.1698764402315631,-0.012360100578605121,-0.019589043308959476,0.12865704499630956,1.2520383470046432,1427,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
11,0,-0.8704810485750907,-0.7085868432967605,0.49008301237281443,-0.44176670082963587,-1.43618274078641,-1.0841361142537322,3226,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
12,1,-0.8289472936808673,-0.7002823263594283,-0.5148032135300247,0.8247662717323934,0.12865704499630956,-1.0841361142537322,1593,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
13,1,-0.8704810485750907,0.31106341022610645,0.992526125324234,0.121136842531266,-0.6197445916823825,-0.25960395145665854,1732,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1
14,0,-0.7043460289981973,-0.015340212006426017,0.992526125324234,0.121136842531266,-0.14348900470503298,-0.5344480057223497,1743,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1
15,1,0.7078016374053965,-0.48364275408119883,0.992526125324234,-0.44176670082963587,-0.07545249227969734,0.42750618420756953,2101,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1
16,0,0.6247341276169498,-0.7309729324321775,-0.012360100578605121,1.5283957009335207,1.1492047313763443,0.2900841570747239,2609,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
17,1,-0.9673931433282785,-0.39120986990915424,0.992526125324234,-1.5675737875514397,-1.3001097159357389,1.389460374137489,1565,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
18,0,-0.6628122741039739,2.018544305732352,-1.0172463264814442,-0.8639443583503124,0.809022169249666,-0.3970259785895041,5272,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
19,1,1.5800104901840868,-0.7150860304651074,-0.012360100578605121,0.40258861421171693,-0.21152551713036863,-0.809292059988041,1220,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1
20,0,1.49694298039564,0.07420414453524218,0.992526125324234,-1.708299673391665,-1.1640366910850675,-0.9467140871208866,1300,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1
21,1,-1.4519536170942176,-0.08213741345888012,-1.5196894394328637,-0.8639443583503124,-1.5042192532117458,-0.6718700328551954,1024,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
22,0,-0.8843256335398318,-0.7028097880360077,-0.5148032135300247,0.26186272837149144,-1.43618274078641,-1.221558141386578,706,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
23,0,-0.12287346047907044,-0.5630772639165497,-0.012360100578605121,0.6840403858921679,-0.07545249227969734,1.1146163198717975,2582,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
